correct mistake
platform plafform
platform platforn
existing existsing
python phyton
following folowing
network netword
network netwrok
random randome
data dadta
append appen
anomoly anomalie
anomolies anomalie
accommodate accomodate
acknowledge acknowlege
liaison liason
maintenance maintanance
millennium millenium
occurrence occurence
pharaoh pharoah
recommendation reccomendation
separate seperate
weird wierd
definitely definately
calendar calender
embarrass embarass
existence existance
guarantee garantee
grammar grammer
independent independant
necessary neccessary
occasionally ocasionally
precede preceed
roman roaman
planning plannig
planning planing
remember remeber
return retrun
